Name,Part family,Type,Design,Order,V&V,Notes,Design Intend,Image,Material,Product name,Supplier Order,Interface with,Link,Supplier,Datasheet,Amount,Cost,Total cost,Count (Interface with)
Oxygen sensor,Gas flow,Standard,Done,Recieved,Good,,0-5% sensor,,,FCX-TR0005,FCX-TR0005,,https://sensorsandpower.angst-pfister.com/de/produkte/gas/produkt/fcx-tr0025-amperometric-oxygen-o2-gas-transmitter/,Angst+Pfister,"FCX-APP2_1620-12925-0021-E-0917.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/2kkILwzUIZQrtwkcd_lXrw/gtHLk2OQYS450AztOwOWe746dD-94_p81AyEeFlvS9TXT2Wnm0VlarF4N_cmLfZZ1f7_ZLIkwOdQFZveZqawmw1a6siRNxppe660ZD8ZGwMf_eh8dmpaXiUqjuOG_H3tyJ_kB91mVKqFTGFYH40nxkXAsTnDyi6UrWsvZTBIPXI/IXNh3woIrE-7iLuh58bMylhCkW6lMxAkVKw1lOe66UM),FCX-TR_1620-21914-0006-D-0819.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/SIB338D3qwjJxcCmsYi_Dg/vk2nLmjQhNrMDT7_wIlKKxatBekCwB-Ug4nS_Y_RtW1fjdMO2XtcNLU_SiuzVTzaotjl2ikVjC_hiX2I2HlIkzxYvwGFslkN8Otzax0KOZadCRK5qrYrPTeMOT_FXkyAXGjEYscv4UP3PfEjucjWvrZKpPDwGcm2skXK1x1u-2k/p6yFsq_y1U4RxhKomqOclgALsvUoIoYeBiFLhanVvd0),FCX-TR_1620-21914-0029-E-0821.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/2odwHPUWRq_vloFIv43H7Q/pzlpN2-oBAKp2IykVVcWkMU1SFLvppALPFcPhyXqxGR-gw5n0aL_qPlskgXdl-0orAUca_al5I7145-ZVKnBjImwkOqnnbqgLYCa62iHfYdZP-JEa8SB50zSWicaLHMKDE2Q6rYDccizin2ryB8Wllht6fNLOqUWvdO3SKduQVY/AVnDiz7L1kwTdcB0sF06Ad-pI-6zOGHqQrSPMjBJauo)",1,DKK5500.00,DKK5500.00,0
"Filter housing 2"" (with one filter)",Gas flow,Standard,Done,Recieved,Good,,"Housing for filter and fits 2"" hoses. Works great",,Steel,"Inline filter G 2""",140220-2,,https://www.skv-tec.nl/en/options/side-channel-blowers/filters/in-line-filters/inline-filter-g-2?number=140220-2&c=73,SKV-tec,,2,DKK1200.00,DKK2400.00,0
G1/2 locking nut for oxygen sensor,Gas flow,Standard,Done,Recieved,,,G1/2 nut for securing the oxygen sensor,,,762-1193,762-1193,,https://dk.rs-online.com/web/p/sensor-og-folertilbehor/7621193,,,,,DKK0.00,0
Cyklone,Gas flow,Standard,In progress,Todo,,,,,,Filter combination M-32M,Filter combination M-32M,,https://cycloonfilters.nl/product/filter-combination-m-32m/?lang=en,,,,,DKK0.00,0
Tangential blower,Gas flow,Standard,Done,Recieved,,,,,,QG030-303/14,175-7072,,https://dk.rs-online.com/web/p/blaesere/1757072,RS components,"A700000007065411.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/fmS0LOymxGfBVzF75FUSDA/ioq0zMfogWVMiOY8e2JbGp7KyzStFn07SmUHY2UDrxT8TNWZSoGByXNKr6yH-_vh6nbncWtco8428_2F73PEUv7m4TzLOEwvAxFA9Ubzo6yCwsF9Ph5x6UF13KNBRjb679Z1omDzHSeyOLtwH9Zl1A/yvseKqvvRJyGUAu0SGVr4MIKpQc9STaHoSEbOpUwa4M),0900766b81369bea.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/7aGrdI_Y5FscrrQzPs6Tog/0Ohqk-hIqvF7OKi5UMAK8wLLWVE26QXFLeQTOBZA6fbFGx3ajuRmDUPNfMrZDqTz7jtQYRCvu5CDrHEfywtePJXlNg7MVLD_cqmtUY_786QPeeHLB3C8VimBBLd9OsXCBHO81lPDsH8G066LTEa8wA/DCLQySF2kpZaADYRFmeZJv27DOHPO1EZx0JDpVAriaw)",1,DKK900.00,DKK900.00,0
Sunny Galvo Adapter Plate,Optics,Custom,Done,Recieved,Slight modifications,,Plate where galvo and collimator mount together,,Aluminium,,,,,DTU,,1,,DKK0.00,0
F-theta seal ring,Optics,Custom,Done,Recieved,Slight modifications,Oring fit is a bit too tight due to small bump prior to intended mating surface,F-theta seal ring with oring around f-theta,,Aluminium,,,,,DTU,,1,,DKK0.00,0
Galvo box bracket,Optics,Custom,Done,Recieved,Slight modifications,"Changed galvo mount completely to allow for adjustments. Tolerences are slightly too tight and it bind a bit if left assembled for a while

Before: Galvo too far down. f-theta does not screw in enough so it sticks down",Plate that attach galvo/collimator to top box plate,,Aluminium,,,,,DTU,,1,,DKK0.00,0
Galve support bracket,Optics,Custom,Done,Recieved,Good,,Sheet metal bracket that support galvo subsystem,,"Stainless steel,Steel",,,,,DTU,,2,,DKK0.00,0
Silicone gasket f-theta ring,Optics,Custom,Done,Recieved,Good,,,,Silicone,,,,,DTU,,1,,DKK0.00,0
